move,observations,time step
"[0.1,0.0]","[[1.2219457702955363, 2.1521124553238216], [1.0609691278818276, 1.2324157481571725], [1.188464337733206, -2.138318032126383], [1.0553615744195701, -1.200377882733381]]",0.2
"[0.1,0.0]","[[1.2296580223904174, 2.203351651781958], [1.0471127085564151, 1.2722206430409615], [1.2157196080534234, -2.1340345177573634], [1.0443997300220593, -1.2606332584694606]]",0.2
"[0.1,0.0]","[[1.21645018484969, 2.1751167694718827], [1.0313071329074213, 1.2852732815508052], [1.2296356440226934, -2.1874628577408246], [1.0320856872264843, -1.2640050413957693]]",0.2
"[0.1,0.0]","[[1.1913134610087779, 2.167516596380668], [1.0538885256414083, 1.2945936256512438], [1.2207051983539394, -2.194795857026121], [1.0271234015808854, -1.294467499028997]]",0.2
"[0.1,0.0]","[[1.2463139496125426, 2.1840568069884743], [1.0245807656512997, 1.3330882152174905], [1.2378384678614982, -2.209617881510699], [1.0366816946308992, -1.3159200613175686]]",0.2
"[0.1,0.0]","[[1.2503846377902736, 2.228396431366163], [1.0275798528328195, 1.3459725351258287], [1.2611993617387816, -2.2346065771499983], [1.0348076534802513, -1.3399842288900594]]",0.2
"[0.1,0.0]","[[1.2627990132854652, 2.2261910727807033], [1.0216611943286216, 1.3786262803801075], [1.2743136264163077, -2.2498630039771834], [1.019618855511888, -1.3526487687241115]]",0.2
"[0.1,0.0]","[[1.2793424152789696, 2.2477153409246684], [1.0380845507029763, 1.3985840374937917], [1.2814581753515208, -2.2580445553855477], [1.0169965093958329, -1.3655551539443989]]",0.2
"[0.1,0.0]","[[1.291591565892426, 2.2454030616283243], [1.0157939053042113, 1.413803120630011], [1.28809076672502, -2.266197687709594], [1.0142722065890049, -1.3757766638294535]]",0.2
"[0.1,0.0]","[[1.3150161286107553, 2.2500820104123425], [0.9990563627357675, 1.398516374414106], [1.3071302896758357, -2.294589326215336], [1.0334297734542683, -1.439215291943963]]",0.2
"[0.1,0.0]","[[1.3217162098247486, 2.2812458649541614], [1.0034984136063299, 1.441965252294927], [1.3196088855402253, -2.3038257215060494], [1.0294246953362085, -1.4287608729391468]]",0.2
"[0.1,0.0]","[[1.3399021685613388, 2.2781765979413438], [1.009972080349431, 1.446274563178428], [1.3136751501403137, -2.281326664781411], [1.0150395727926698, -1.4789923416335393]]",0.2
"[0.1,0.0]","[[1.3543656212748139, 2.304104861805878], [0.989919195898575, 1.4717364046892898], [1.46867174099351, 0.7459190292586215], [1.3369847146009368, -2.304818766597283], [1.0160609530021223, -1.486784846949387], [1.4954455323847835, -0.7393932533558444]]",0.2
"[0.1,0.0]","[[1.359130588072078, 2.3059298216991486], [1.0015184407792128, 1.505696815476781], [1.4698957251278824, 0.735917274631661], [1.3644384376619012, -2.3476115206342647], [1.0301640563382901, -1.482038157498872], [1.4733439968975657, -0.71605566448633]]",0.2
"[0.1,0.0]","[[1.357611697192662, 2.319626148263602], [1.007429980625116, 1.5116699636967654], [1.457773733638095, 0.7520474809800789], [1.374218389017932, -2.3303234644132025], [1.0212688377185943, -1.5199234216035868], [1.4649577249423027, -0.7598934152077234]]",0.2
"[0.1,0.0]","[[1.3514020605091803, 2.3407162633180016], [1.0033206170182467, 1.5144211425214071], [1.4579225911759934, 0.7558431539414192], [1.3540419152465155, -2.3699852554033933], [0.9852298937443394, -1.5214588391856572], [1.4427185830123697, -0.7758794229138586]]",0.2
"[0.1,0.0]","[[1.4043764003763497, 2.356740426613782], [1.0128463668802306, 1.5388413355177433], [1.443831653743414, 0.8215551623295984], [1.386593105927434, -2.3307198548930876], [0.9980070952086267, -1.526986571410965], [1.4242234754289111, -0.7793721380165556]]",0.2
"[0.1,0.0]","[[1.4176369821925208, 2.370099267523849], [1.0100762812958364, 1.5801217230503466], [1.4420893717359906, 0.7564044380703581], [1.4186875472016016, -2.367071109012613], [1.0103257488236341, -1.538730587574051], [1.4049690115952858, -0.7487652452335555]]",0.2
"[0.1,0.0]","[[1.411634637716788, 2.343609931298349], [0.9932748424350012, 1.6091212855826122], [1.4011402653023457, 0.7856537943127688], [1.443900539842965, -2.367404147921649], [0.9993035636046481, -1.6039328109514042], [1.4042155363801625, -0.8064759761936328]]",0.2
"[0.1,0.0]","[[1.4555441811647223, 2.3702441639142853], [1.0023166721886592, 1.5923796015135174], [1.3851164080990617, 0.7730179995174409], [1.4531866436769236, -2.379889055333106], [1.013400661003881, -1.6202795362728923], [1.3723139335157213, -0.7766438750235715]]",0.2
"[0.1,0.0]","[[1.4660979234279474, 2.3727465946865034], [1.0070255442981277, 1.6416927491160986], [1.3858902118610221, 0.8058620849185257], [1.4638028171389534, -2.3837206317168493], [1.0003285152495358, -1.6406640033496664], [1.3732873040166125, -0.832813318322126]]",0.2
"[0.1,0.0]","[[1.4579213688702477, 2.402224686426345], [1.0125417780708792, 1.649352707883414], [1.3685470395578787, 0.8504128373272539], [1.4624556369044261, -2.400067815250902], [1.0072618813119596, -1.6717151534104624], [1.3580218060348175, -0.8122202795927279]]",0.2
"[0.1,0.0]","[[1.478915413106327, 2.3827795395671187], [1.0047932593054385, 1.6660115007061165], [1.3372181485060004, 0.8214841068719627], [1.4926565030875156, -2.3817869434880143], [0.9971503814867078, -1.6727920983431104], [1.349480788681092, -0.8225315255604728]]",0.2
