move,observations,time step
"[0.1,0.0]","[[1.3506948825647809, 2.29323492107206], [0.9933913566644726, 1.4820365957678583], [1.4683892399156442, 0.7518796754605436], [1.3498260784112375, -2.3204624615336282], [0.9889147940855948, -1.4846360729288133], [1.488988040920685, -0.7668859234911642]]",0.2
"[0.1,0.0]","[[1.3786239582835835, 2.3202107058928214], [0.9971474908861915, 1.5250645020571671], [1.4549623019673452, 0.7644739042670007], [1.3713083084251487, -2.3403829997977565], [0.993125811702973, -1.4810887599901803], [1.4581618810821741, -0.7724367280825242]]",0.2
"[0.1,0.0]","[[1.3894997375849774, 2.358885939240215], [0.9831118762916196, 1.5354638591078076], [1.440706009861531, 0.7636459717698019], [1.3739619107750585, -2.3372488765066346], [1.0048738968620277, -1.5256974486666761], [1.4452032230333496, -0.7428806348666986]]",0.2
"[0.1,0.0]","[[1.3962905900440588, 2.3710643388969164], [0.9867152132406734, 1.5499598121589855], [1.4290153420529268, 0.7506252622752068], [1.3939820879233127, -2.355272982805386], [1.0003476181868602, -1.5731778650416894], [1.4282765391931376, -0.7754789122016644]]",0.2
"[0.1,0.0]","[[1.4071218118683795, 2.358023747260588], [0.9962048936549356, 1.593574433881276], [1.4240480675628753, 0.7635584045469308], [1.4069537030010275, -2.331529578835329], [0.9868668561852341, -1.5782770605126395], [1.4174826498739281, -0.7882795748826347]]",0.2
"[0.1,0.0]","[[1.425602326558103, 2.398989330363061], [1.008093252039093, 1.5782024604260363], [1.410436565870145, 0.8236262003204209], [1.4146739546671105, -2.350572344485372], [0.9829195484319283, -1.5922873592066382], [1.3981490958358065, -0.8022413510522989]]",0.2
"[0.1,0.0]","[[1.4311964624840725, 2.376095606435994], [1.0145537951366113, 1.5967228181374735], [1.388042083894068, 0.819975201576875], [1.458654746821159, -2.344387775242097], [1.004189306102549, -1.6227692036295525], [1.384715875896235, -0.8064232956294314]]",0.2
"[0.1,0.0]","[[1.4591519324695974, 2.400331046005871], [0.9999323250426033, 1.6509477668600927], [1.3702243263063807, 0.8058987899113876], [1.4370703137852328, -2.4066827168201765], [1.0076395158426128, -1.6557117659914484], [1.3727040604525136, -0.78395895631055]]",0.2
"[0.1,0.0]","[[1.4803293029912497, 2.3852310545190485], [0.9967577692185029, 1.631510342561088], [1.3626089779575394, 0.83753875390121], [1.4667286365675571, -2.376161139326213], [0.9988357480800457, -1.6376590376299724], [1.3555015213477464, -0.8462589162328132]]",0.2
"[0.1,0.0]","[[1.4746164121506018, 2.459802224992389], [1.0160784284640525, 1.6809646503706217], [1.3389084627287182, 0.8524790570632005], [1.4899943040235575, -2.38287777020435], [1.0195591384983282, -1.6872656178359826], [1.337718260277568, -0.8200977474126718]]",0.2
"[0.1,0.0]","[[0.9908023118467273, 1.6924573482839973], [1.3361370728122066, 0.8435918577763883], [1.018672761601748, -1.7310574396446103], [1.3288666034475725, -0.8469517984550669]]",0.2
"[0.1,0.0]","[[1.012498202199326, 1.715686488938369], [1.3217288339919306, 0.8668045249719605], [1.0106112607388016, -1.7240708207236417], [1.3294574983552707, -0.8456791300799719]]",0.2
"[0.1,0.0]","[[1.016872441875803, 1.7165577219670876], [1.3045422743377455, 0.8749860688656478], [1.0151410526483096, -1.7215938976282823], [1.3099018346090208, -0.8690080245897183]]",0.2
"[0.1,0.0]","[[1.0247220052569872, 1.7362626922646456], [1.2827941639552156, 0.9124754933551575], [1.0364984477624155, -1.7402021416589757], [1.2871889931099554, -0.8575941576136011]]",0.2
"[0.1,0.0]","[[1.0244084237012725, 1.8081540202381021], [1.2912734584707424, 0.9188364178360541], [1.003241512944089, -1.7760009375621286], [1.2788924358662905, -0.9136665081694996]]",0.2
"[0.1,0.0]","[[1.0268732764155866, 1.7791112648388603], [1.2737312838137556, 0.9158485033943937], [1.0125921095092036, -1.7616698121761476], [1.2522993618305718, -0.9391231065039873]]",0.2
"[0.1,0.0]","[[1.0310861869060168, 1.8250622549211402], [1.2715737119592252, 0.8952688867015738], [1.0237846748983588, -1.7705514111301712], [1.2487036996161704, -0.9390625874613803]]",0.2
"[0.1,0.0]","[[1.016639356379045, 1.816253007083673], [1.2401901318053632, 0.9361155867586781], [1.0523095681842394, -1.826438406651349], [1.2238970458315321, -0.9508505365981467]]",0.2
"[0.1,0.0]","[[1.026837485321442, 1.8408434391153135], [1.220313203556355, 0.9655672790083732], [1.0326968325739212, -1.8503745876888789], [1.2269937966018092, -0.9790148164938302]]",0.2
"[0.1,0.0]","[[1.0241099223097607, 1.8590822147090202], [1.2240372786732805, 0.9605027126914827], [1.0655149373329396, -1.8768098343293063], [1.2334930566901505, -0.986657130706983]]",0.2
"[0.1,0.0]","[[1.0338539330794976, 1.8969845668907128], [1.2156750223069612, 0.9783895692282772], [1.053151698816461, -1.8872551707247636], [1.226971869270007, -0.995335933331406]]",0.2
"[0.1,0.0]","[[1.0650910474075617, 1.8832177373408863], [1.2071165826275845, 0.9707222057311699], [1.0629881038056537, -1.8908681462784358], [1.1953585372483442, -0.9771820889283317]]",0.2
